경도,위도,주소
126.2738283,33.16627013,제주특별자치도 서귀포시 가파리70-6
126.2699065,33.17418676,제주특별자치도 서귀포시 가파리210
126.273017,33.25096444,제주특별자치도 서귀포시 보성리1587-1
126.2237762,33.28216447,제주특별자치도 서귀포시 무릉리943-15
126.2496421,33.22162937,제주특별자치도 서귀포시 하모리1077-1
126.2036842,33.27057747,제주특별자치도 서귀포시 무릉리2865-3
126.1990199,33.27258146,제주특별자치도 서귀포시 무릉리3314-8
126.195593,33.27171703,제주특별자치도 서귀포시 무릉리3473-3
126.1978349,33.26710028,제주특별자치도 서귀포시 대정읍 무릉사장로 12-1
126.2234163,33.24599265,제주특별자치도 서귀포시 일과리1516-3
126.2567479,33.22493452,제주특별자치도 서귀포시 상모대서로20
126.2507401,33.21792971,제주특별자치도 서귀포시 하모리2128-6
126.2834195,33.27915545,제주특별자치도 서귀포시 구억리 788-3
126.2573108,33.22254733,제주특별자치도 서귀포시 상모리3970-2
126.2302158,33.23898271,제주특별자치도 서귀포시 일과리 1303-9
126.2099876,33.26483429,제주특별자치도 서귀포시 영락리1173-1
126.2549128,33.22675189,제주특별자치도 서귀포시 하모리 1403-2
126.2825675,33.2908259,제주특별자치도 서귀포시 보성리 2403
126.2911843,33.29571522,제주특별자치도 서귀포시 구억리 1101
126.2759241,33.28518597,제주특별자치도 서귀포시 보성리 2424
126.2530435,33.21833274,제주특별자치도 서귀포시 하모리 765-6 
126.1999441,33.26262577,제주특별자치도 서귀포시 무릉리3734-4
126.2681515,33.22469466,제주특별자치도 서귀포시 상모리2669-3
126.2318884,33.27692334,제주특별자치도 서귀포시 무릉리 1139-3
126.2478793,33.22390306,제주특별자치도 서귀포시 신영로23
126.2603922,33.22759526,제주특별자치도 서귀포시 상모리3732-6
126.3107624,36.89511497,제주특별자치도 서귀포시 일관리 226
126.2331709,33.243849,제주특별자치도 서귀포시 일과리 930 
126.2850609,33.24750307,제주특별자치도 서귀포시 인성리 122-5 
126.2945327,33.27969442,제주특별자치도 서귀포시 구억리293-1
126.2532234,33.23027792,제주특별자치도 서귀포시 하모리 1331-2
126.2528649,33.22231451,제주특별자치도 서귀포시 하모리 908
126.2774949,33.24597837,제주특별자치도 서귀포시 인성리 373-1
126.2715699,33.16941388,제주특별자치도 서귀포시 가파리
126.2775936,33.24742032,제주특별자치도 서귀포시 인성리 368-5 
126.7135991,33.27869291,제주특별자치도 서귀포시 남원읍 남원리 1310-3
126.6573662,33.27496842,제주특별자치도 서귀포시 남원읍 위미리 2885-5
126.7447298,33.28741969,제주특별자치도 서귀포시 남원읍 태흥리 553-8
126.6378026,33.26202906,제주특별자치도 서귀포시 남원읍 하례리 36-5
126.6255672,33.26379926,제주특별자치도 서귀포시 남원읍 일주동로 8058
126.6298955,33.26897924,제주특별자치도 서귀포시 남원읍 하례리 605-3
126.6078188,33.29333508,제주특별자치도 서귀포시 남원읍 하례돈야로 28
126.6342595,33.28549372,제주특별자치도 서귀포시 남원읍 신례리 855-2
126.7133931,33.32811667,제주특별자치도 서귀포시 남원읍 수망리 313-1
126.7155488,33.27748611,제주특별자치도 서귀포시 남원읍 남원리 1352-1
126.7208449,33.28063351,제주특별자치도 서귀포시 남원읍 남원리 207-10
126.7203644,33.27963895,제주특별자치도 서귀포시 남원읍 남원리 205-18
126.7078743,33.28301367,제주특별자치도 서귀포시 남원읍 남위남성로 10
126.6953569,33.27461869,제주특별자치도 서귀포시 남원읍 남원리 2419-9
126.7240916,33.28032655,제주특별자치도 서귀포시 남원읍 태위로 726
126.6518414,33.27428192,제주특별자치도 서귀포시 남원읍 위미리 4140-5
126.643884,33.26706033,제주특별자치도 서귀포시 남원읍 신례리 26-7
126.6394857,33.26316281,제주특별자치도 서귀포시 남원읍 신례리 74
126.6414652,33.26266516,제주특별자치도 서귀포시 남원읍 신례리 72-19
126.7405663,33.2859125,제주특별자치도 서귀포시 남원읍 태흥리 950-3
126.6292847,33.2830163,제주특별자치도 서귀포시 남원읍 신례리 730-1
126.6913435,33.31118906,제주특별자치도 서귀포시 남원읍 한남리 672-3
126.6792157,33.29196069,제주특별자치도 서귀포시 남원읍 위미리 491-1
126.6586955,33.27102479,제주특별자치도 서귀포시 남원읍 위미해안로 43
126.6641066,33.2800119,제주특별자치도 서귀포시 남원읍 위미리 2061-2
126.6679902,33.27496802,제주특별자치도 서귀포시 남원읍 태위로 194
126.7214321,33.27879804,제주특별자치도 서귀포시 남원읍 남원리 84-2
126.7090902,33.28096494,제주특별자치도 서귀포시 남원읍 남원체육관로 221번길 16
126.7152921,33.28409601,제주특별자치도 서귀포시 남원읍 남원리 1226-2
126.706231,33.27575795,제주특별자치도 서귀포시 남원읍 남원리 1451-4
126.7223836,33.28202359,제주특별자치도 서귀포시 남원읍 남원리 19-6
